2018-08-15 11:35:49,085 INFO  - List of Trainers: [Trainer(id=1, name=Andrei Reut, language=Java, experience=6), Trainer(id=2, name=Ivan Ivanov, language=C++, experience=4), Trainer(id=3, name=Petr Petrov, language=C#, experience=5), Trainer(id=4, name=Sergei Sergeev, language=Java, experience=10), Trainer(id=5, name=Pavel Pavlov, language=C#, experience=2)]
2018-08-15 11:35:49,086 INFO  - Method add findAll is called in Cache
2018-08-15 11:35:49,086 INFO  - Cache: [findByLanguageC#, findByLanguageJS, findByLanguageRuby, findByLanguageC++, findAll]
2018-08-15 11:35:49,091 INFO  - Method delete is called in TrainerDao
2018-08-15 11:35:49,091 INFO  - Cache is empty
2018-08-15 11:35:49,123 INFO  - Trainer(id=1, name=Andrei Reut, language=Java, experience=6) has been deleted successfully!
2018-08-15 11:35:49,123 INFO  - Method findAll is called in TrainerDao
2018-08-15 11:35:49,123 INFO  - Method ifCacheContains findAll is called in Cache
2018-08-15 11:35:49,130 INFO  - List of Trainers: [Trainer(id=2, name=Ivan Ivanov, language=C++, experience=4), Trainer(id=3, name=Petr Petrov, language=C#, experience=5), Trainer(id=4, name=Sergei Sergeev, language=Java, experience=10), Trainer(id=5, name=Pavel Pavlov, language=C#, experience=2)]
2018-08-15 11:35:49,130 INFO  - Method add findAll is called in Cache
2018-08-15 11:35:49,131 INFO  - Cache: [findAll]
2018-08-15 11:35:49,132 INFO  - HHH10001008: Cleaning up connection pool [jdbc:mysql://localhost:3306/cache_database]
